date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11 00:00:00,15,7,0.0,8.7,4,0,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,0,7,9,7,20,10,53,0.0,1020,9,10,18,10
2018-12-11 03:00:00,15,7,0.0,8.7,4,0,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,1,5,7,5,19,25,64,0.0,1020,7,10,28,9
2018-12-11 06:00:00,15,7,0.0,8.7,4,0,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,0,5,7,5,21,14,62,0.0,1020,7,10,21,10
2018-12-11 09:00:00,15,7,0.0,8.7,4,4,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-1,10,11,10,17,5,41,0.0,1020,11,10,47,14
2018-12-11 12:00:00,15,7,0.0,8.7,4,4,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-6,13,15,13,19,6,23,0.0,1019,15,10,55,17
2018-12-11 15:00:00,15,7,0.0,8.7,4,4,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-3,13,13,13,11,2,32,0.0,1018,13,10,160,6
2018-12-11 18:00:00,15,7,0.0,8.7,4,0,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,-2,10,11,10,14,0,41,0.0,1020,11,10,261,6
2018-12-11 21:00:00,15,7,0.0,8.7,4,0,21,10:14 AM,08:44 PM,06:50 AM,04:40 PM,3,8,9,8,14,0,68,0.0,1020,9,10,266,7
2018-12-12 00:00:00,14,6,0.0,8.7,3,0,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,3,6,8,6,24,14,70,0.0,1020,8,10,277,12
2018-12-12 03:00:00,14,6,0.0,8.7,3,0,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-1,4,7,4,36,5,57,0.0,1019,7,10,284,17
2018-12-12 06:00:00,14,6,0.0,8.7,3,0,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-2,3,6,3,34,11,57,0.0,1020,6,10,279,17
2018-12-12 09:00:00,14,6,0.0,8.7,3,4,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,0,9,10,9,12,31,50,0.0,1021,10,10,342,10
2018-12-12 12:00:00,14,6,0.0,8.7,3,4,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,-1,14,14,14,11,1,35,0.0,1021,14,10,75,9
2018-12-12 15:00:00,14,6,0.0,8.7,3,4,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,0,12,12,12,12,0,43,0.0,1021,12,10,180,9
2018-12-12 18:00:00,14,6,0.0,8.7,3,0,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,1,9,9,9,10,0,58,0.0,1023,9,10,217,5
2018-12-12 21:00:00,14,6,0.0,8.7,3,0,29,10:52 AM,09:39 PM,06:51 AM,04:40 PM,2,7,9,7,23,4,63,0.0,1025,9,10,285,11
2018-12-13 00:00:00,13,6,0.0,8.7,3,0,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,0,7,7,7,11,5,61,0.0,1025,7,10,293,5
2018-12-13 03:00:00,13,6,0.0,8.7,3,0,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-1,6,6,6,5,4,58,0.0,1026,6,10,49,3
2018-12-13 06:00:00,13,6,0.0,8.7,3,0,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-1,5,6,5,18,3,59,0.0,1027,6,10,36,9
2018-12-13 09:00:00,13,6,0.0,8.7,3,4,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-3,9,11,9,14,5,38,0.0,1027,11,10,68,12
2018-12-13 12:00:00,13,6,0.0,8.7,3,4,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-8,12,13,12,16,4,22,0.0,1025,13,10,61,14
2018-12-13 15:00:00,13,6,0.0,8.7,3,4,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-8,11,13,11,21,2,23,0.0,1024,13,10,87,14
2018-12-13 18:00:00,13,6,0.0,8.7,3,0,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-9,8,10,8,23,2,26,0.0,1025,10,10,17,12
2018-12-13 21:00:00,13,6,0.0,8.7,3,0,36,11:27 AM,10:34 PM,06:52 AM,04:41 PM,-9,7,9,7,28,3,27,0.0,1025,9,10,48,14
2018-12-14 00:00:00,12,8,0.0,3.7,3,0,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-10,6,8,6,23,5,26,0.0,1024,8,10,7,11
2018-12-14 03:00:00,12,8,0.0,3.7,3,0,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-12,6,8,6,26,15,22,0.0,1024,8,10,48,12
2018-12-14 06:00:00,12,8,0.0,3.7,3,0,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-12,6,8,6,23,36,22,0.0,1024,8,10,10,11
2018-12-14 09:00:00,12,8,0.0,3.7,3,3,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-11,9,11,9,18,66,20,0.0,1024,11,10,68,14
2018-12-14 12:00:00,12,8,0.0,3.7,3,3,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-12,11,12,11,12,88,18,0.0,1021,12,10,52,10
2018-12-14 15:00:00,12,8,0.0,3.7,3,3,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-9,11,11,11,6,89,23,0.0,1021,11,10,86,4
2018-12-14 18:00:00,12,8,0.0,3.7,3,0,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-9,9,9,9,4,50,27,0.0,1021,9,10,27,2
2018-12-14 21:00:00,12,8,0.0,3.7,3,0,43,11:58 AM,11:30 PM,06:52 AM,04:41 PM,-9,8,8,8,5,9,28,0.0,1021,8,10,75,3
2018-12-15 00:00:00,14,6,0.0,8.7,3,0,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-9,7,7,7,8,1,31,0.0,1021,7,10,0,4
2018-12-15 03:00:00,14,6,0.0,8.7,3,0,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-10,5,6,5,14,0,29,0.0,1020,6,10,87,6
2018-12-15 06:00:00,14,6,0.0,8.7,3,0,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-10,5,6,5,14,0,31,0.0,1020,6,10,14,7
2018-12-15 09:00:00,14,6,0.0,8.7,3,4,51,12:28 PM,No moonset,06:53 AM,04:41 PM,-10,11,12,11,11,2,21,0.0,1020,12,10,62,9
