date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2018-12-11 00:00:00,25,18,0.0,11.6,5,0,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,18,19,19,19,9,53,95,0.0,1016,18,2,129,6
2018-12-11 03:00:00,25,18,0.0,11.6,5,0,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,18,19,19,19,9,44,95,0.1,1016,18,2,153,6
2018-12-11 06:00:00,25,18,0.0,11.6,5,0,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,18,20,20,20,8,15,88,0.0,1017,20,10,170,6
2018-12-11 09:00:00,25,18,0.0,11.6,5,6,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,17,27,27,25,10,29,61,0.0,1017,25,10,121,9
2018-12-11 12:00:00,25,18,0.0,11.6,5,7,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,19,27,27,25,11,50,67,0.0,1014,25,10,88,10
2018-12-11 15:00:00,25,18,0.0,11.6,5,5,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,20,25,25,23,12,26,80,0.8,1013,23,9,85,10
2018-12-11 18:00:00,25,18,0.0,11.6,5,5,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,19,20,20,20,13,48,94,0.0,1015,20,10,103,9
2018-12-11 21:00:00,25,18,0.0,11.6,5,0,21,10:01 AM,09:53 PM,06:35 AM,06:07 PM,19,20,20,20,12,60,95,0.2,1016,20,10,111,8
2018-12-12 00:00:00,26,19,0.0,10.2,5,0,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,19,20,20,20,10,81,96,0.0,1016,20,2,119,6
2018-12-12 03:00:00,26,19,0.0,10.2,5,0,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,19,20,20,20,9,64,96,0.1,1015,19,2,149,6
2018-12-12 06:00:00,26,19,0.0,10.2,5,0,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,19,21,24,21,6,28,90,0.0,1016,20,10,177,5
2018-12-12 09:00:00,26,19,0.0,10.2,5,7,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,19,28,28,26,7,22,65,0.0,1016,26,10,101,6
2018-12-12 12:00:00,26,19,0.0,10.2,5,6,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,20,27,27,25,12,49,73,0.0,1013,25,10,75,10
2018-12-12 15:00:00,26,19,0.0,10.2,5,5,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,20,25,25,23,20,39,85,5.1,1012,22,7,77,11
2018-12-12 18:00:00,26,19,0.0,10.2,5,5,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,19,20,20,20,13,63,95,0.0,1014,20,2,93,9
2018-12-12 21:00:00,26,19,0.0,10.2,5,0,29,10:45 AM,10:41 PM,06:36 AM,06:07 PM,19,20,20,20,11,70,96,0.0,1015,20,2,100,7
2018-12-13 00:00:00,25,19,0.0,11.6,5,0,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,20,20,20,20,9,90,97,0.0,1014,20,2,101,6
2018-12-13 03:00:00,25,19,0.0,11.6,5,0,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,19,20,20,20,12,86,96,0.5,1014,20,10,109,8
2018-12-13 06:00:00,25,19,0.0,11.6,5,0,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,19,20,20,20,14,59,94,0.0,1016,20,10,108,10
2018-12-13 09:00:00,25,19,0.0,11.6,5,5,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,19,25,25,23,14,23,81,0.2,1016,22,9,101,12
2018-12-13 12:00:00,25,19,0.0,11.6,5,6,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,18,26,26,25,16,28,64,0.0,1015,25,10,71,14
2018-12-13 15:00:00,25,19,0.0,11.6,5,6,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,18,25,25,23,15,14,74,0.0,1013,23,10,73,12
2018-12-13 18:00:00,25,19,0.0,11.6,5,5,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,18,20,20,20,11,46,94,0.0,1014,19,10,78,7
2018-12-13 21:00:00,25,19,0.0,11.6,5,0,36,11:28 AM,11:28 PM,06:36 AM,06:07 PM,19,20,20,20,10,52,95,0.1,1015,19,2,80,7
2018-12-14 00:00:00,25,18,0.0,10.2,5,0,43,12:08 PM,No moonset,06:37 AM,06:08 PM,18,19,19,19,9,52,95,0.0,1015,19,2,98,6
2018-12-14 03:00:00,25,18,0.0,10.2,5,0,43,12:08 PM,No moonset,06:37 AM,06:08 PM,18,19,19,19,9,57,95,0.2,1015,18,10,114,6
2018-12-14 06:00:00,25,18,0.0,10.2,5,0,43,12:08 PM,No moonset,06:37 AM,06:08 PM,18,20,20,20,8,29,89,0.0,1017,20,10,132,7
2018-12-14 09:00:00,25,18,0.0,10.2,5,6,43,12:08 PM,No moonset,06:37 AM,06:08 PM,18,26,26,24,11,12,67,0.1,1017,24,10,100,10
2018-12-14 12:00:00,25,18,0.0,10.2,5,7,43,12:08 PM,No moonset,06:37 AM,06:08 PM,17,27,27,25,15,23,62,0.0,1015,25,10,73,13
2018-12-14 15:00:00,25,18,0.0,10.2,5,6,43,12:08 PM,No moonset,06:37 AM,06:08 PM,18,25,25,23,15,21,77,0.1,1014,23,10,75,13
2018-12-14 18:00:00,25,18,0.0,10.2,5,4,43,12:08 PM,No moonset,06:37 AM,06:08 PM,19,20,20,20,14,80,94,0.0,1015,20,2,86,9
2018-12-14 21:00:00,25,18,0.0,10.2,5,0,43,12:08 PM,No moonset,06:37 AM,06:08 PM,19,20,20,20,10,91,94,0.9,1016,20,10,86,7
2018-12-15 00:00:00,26,18,0.0,11.6,5,0,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,19,20,20,20,12,87,96,0.0,1016,19,2,106,9
2018-12-15 03:00:00,26,18,0.0,11.6,5,0,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,19,19,19,19,10,70,96,0.4,1016,19,10,123,7
2018-12-15 06:00:00,26,18,0.0,11.6,5,0,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,18,20,20,20,8,29,91,0.0,1018,19,10,148,7
2018-12-15 09:00:00,26,18,0.0,11.6,5,6,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,17,26,26,25,10,7,59,0.0,1019,24,10,108,8
2018-12-15 12:00:00,26,18,0.0,11.6,5,7,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,16,27,27,26,14,11,54,0.0,1016,26,10,72,12
2018-12-15 15:00:00,26,18,0.0,11.6,5,6,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,16,25,25,23,15,3,67,0.0,1014,23,10,75,13
2018-12-15 18:00:00,26,18,0.0,11.6,5,5,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,17,19,19,19,12,18,91,0.0,1016,18,10,99,8
2018-12-15 21:00:00,26,18,0.0,11.6,5,0,51,12:47 PM,12:14 AM,06:37 AM,06:08 PM,17,18,18,18,12,38,94,0.0,1017,18,10,98,8
2018-12-16 00:00:00,26,18,0.0,11.6,5,0,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,18,19,19,19,11,54,94,0.0,1016,18,2,104,8
2018-12-16 03:00:00,26,18,0.0,11.6,5,0,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,18,19,19,19,11,57,95,0.1,1016,18,2,107,7
2018-12-16 06:00:00,26,18,0.0,11.6,5,0,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,18,20,20,20,7,33,89,0.0,1017,19,10,125,6
2018-12-16 09:00:00,26,18,0.0,11.6,5,6,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,17,26,26,25,10,14,62,0.0,1018,24,10,104,8
2018-12-16 12:00:00,26,18,0.0,11.6,5,7,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,18,27,27,26,12,27,60,0.0,1014,26,10,66,10
2018-12-16 15:00:00,26,18,0.0,11.6,5,5,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,19,25,25,23,12,30,78,0.4,1013,23,9,68,10
2018-12-16 18:00:00,26,18,0.0,11.6,5,4,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,19,20,20,20,13,60,95,0.0,1015,20,2,83,9
2018-12-16 21:00:00,26,18,0.0,11.6,5,0,58,01:27 PM,01:01 AM,06:38 AM,06:09 PM,19,20,20,20,13,69,96,0.4,1016,19,10,102,9
2018-12-17 00:00:00,25,19,0.0,11.6,5,0,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,19,19,19,10,78,96,0.0,1015,19,2,115,7
2018-12-17 03:00:00,25,19,0.0,11.6,5,0,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,18,19,19,19,11,73,95,0.2,1014,19,5,122,8
2018-12-17 06:00:00,25,19,0.0,11.6,5,0,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,20,20,20,8,43,91,0.0,1017,20,10,134,6
2018-12-17 09:00:00,25,19,0.0,11.6,5,6,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,26,26,24,10,28,73,0.1,1017,23,10,104,9
2018-12-17 12:00:00,25,19,0.0,11.6,5,6,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,27,27,25,12,28,70,0.0,1014,25,10,74,11
2018-12-17 15:00:00,25,19,0.0,11.6,5,5,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,25,25,23,19,19,80,3.4,1013,22,7,75,12
2018-12-17 18:00:00,25,19,0.0,11.6,5,4,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,20,20,20,13,56,94,0.0,1015,19,2,86,9
2018-12-17 21:00:00,25,19,0.0,11.6,5,0,65,02:08 PM,01:48 AM,06:38 AM,06:09 PM,19,20,20,20,13,64,96,0.1,1015,19,2,90,9
2018-12-18 00:00:00,26,19,0.0,10.2,5,0,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,19,20,20,20,13,86,96,0.0,1015,19,2,98,9
2018-12-18 03:00:00,26,19,0.0,10.2,5,0,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,19,19,19,19,14,79,96,0.5,1015,19,2,105,9
2018-12-18 06:00:00,26,19,0.0,10.2,5,0,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,19,20,20,20,8,34,92,0.0,1016,20,10,133,7
2018-12-18 09:00:00,26,19,0.0,10.2,5,6,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,19,26,26,25,9,4,70,0.1,1016,23,10,110,8
2018-12-18 12:00:00,26,19,0.0,10.2,5,7,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,17,27,27,26,13,16,59,0.0,1013,26,10,62,11
2018-12-18 15:00:00,26,19,0.0,10.2,5,6,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,18,25,25,23,13,25,77,0.0,1012,23,10,62,12
2018-12-18 18:00:00,26,19,0.0,10.2,5,4,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,19,20,20,20,12,63,93,0.0,1014,20,10,77,9
2018-12-18 21:00:00,26,19,0.0,10.2,5,0,72,02:51 PM,02:37 AM,06:39 AM,06:10 PM,19,20,20,20,11,56,93,0.2,1015,20,10,93,8
2018-12-19 00:00:00,26,19,0.0,10.2,5,0,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,19,19,19,19,8,58,95,0.0,1015,19,2,106,6
2018-12-19 03:00:00,26,19,0.0,10.2,5,0,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,19,19,19,19,9,77,96,0.3,1014,19,2,109,6
2018-12-19 06:00:00,26,19,0.0,10.2,5,0,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,19,20,20,20,7,46,91,0.0,1016,20,10,125,6
2018-12-19 09:00:00,26,19,0.0,10.2,5,6,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,19,26,26,24,10,22,72,0.0,1015,24,10,105,9
2018-12-19 12:00:00,26,19,0.0,10.2,5,7,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,19,27,27,26,11,41,64,0.0,1013,26,10,83,10
2018-12-19 15:00:00,26,19,0.0,10.2,5,5,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,20,25,25,23,13,27,79,0.2,1012,23,9,77,11
2018-12-19 18:00:00,26,19,0.0,10.2,5,5,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,20,20,20,20,12,61,95,0.0,1013,20,2,87,8
2018-12-19 21:00:00,26,19,0.0,10.2,5,0,80,03:37 PM,03:29 AM,06:39 AM,06:10 PM,20,20,20,20,10,80,95,0.3,1014,20,2,99,7
2018-12-20 00:00:00,25,19,0.0,10.2,5,0,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,19,20,20,20,9,88,97,0.0,1014,20,2,115,6
2018-12-20 03:00:00,25,19,0.0,10.2,5,0,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,19,20,20,20,9,70,96,0.1,1014,19,2,147,6
2018-12-20 06:00:00,25,19,0.0,10.2,5,0,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,19,21,21,21,7,31,90,0.0,1015,20,10,172,6
2018-12-20 09:00:00,25,19,0.0,10.2,5,6,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,19,27,27,25,6,49,70,0.0,1016,25,10,102,5
2018-12-20 12:00:00,25,19,0.0,10.2,5,7,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,20,27,27,26,9,33,70,0.0,1013,25,10,68,8
2018-12-20 15:00:00,25,19,0.0,10.2,5,5,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,20,25,25,23,12,42,82,0.4,1011,23,9,57,10
2018-12-20 18:00:00,25,19,0.0,10.2,5,5,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,20,21,21,21,11,62,95,0.0,1013,20,2,77,8
2018-12-20 21:00:00,25,19,0.0,10.2,5,0,87,04:27 PM,04:23 AM,06:40 AM,06:11 PM,19,20,20,20,13,70,95,0.4,1014,20,5,98,9
2018-12-21 00:00:00,25,19,0.0,8.7,5,0,94,05:22 PM,05:22 AM,06:40 AM,06:11 PM,19,20,20,20,10,85,96,0.0,1013,20,2,108,7
2018-12-21 03:00:00,25,19,0.0,8.7,5,0,94,05:22 PM,05:22 AM,06:40 AM,06:11 PM,19,20,20,20,12,84,96,0.4,1013,20,10,103,8
2018-12-21 06:00:00,25,19,0.0,8.7,5,0,94,05:22 PM,05:22 AM,06:40 AM,06:11 PM,19,20,20,20,11,61,95,0.8,1015,20,10,118,8
